query,engine,bible_copilot_cited,bible_copilot_url_if_cited,competitors_cited,competitor_urls,notes
best AI Bible study app,WebSearch (Google proxy),NO,,faith.tools;Bold Bible;Lumenology;Doxa;RankmyAI;BibleGPT;FaithTime;PsalmLog;Bible AI (Google Play),https://faith.tools/artificial-intelligence-ai;https://boldbible.org/bible;https://lumenology.ai/blog/best-bible-study-app;https://doxa.app/blog/best-bible-apps-with-ai;https://www.rankmyai.com/rankings/top-ai-bible-study-tools;https://biblegpt-la.com/;https://www.faithtime.ai/content/general/best-free-bible-study-apps/;https://psalmlog.com/blog/top-bible-study-apps-personalized-guidance-2026/;https://play.google.com/store/apps/details?id=br.com.mrrocco.bibliaia,Bible Copilot completely absent from top 10. Listicles dominated by Lumenology Doxa Bold Bible BibleGPT. Logos and YouVersion mentioned in AI summary but not as top results.
AI Bible study app with Greek and Hebrew,WebSearch (Google proxy),NO,,The Better Bible;Heaven;Biblingo;Parallel Plus;Bible Word Study;BibleWebApp;BibleScientia;Superprompt;faith.tools,https://better-bible.com/;https://www.heaven.app/;https://biblingo.com/;https://mwm.ai/apps/parallel-plus-bible-study-app/528246186;https://mwm.ai/apps/bible-word-study/6747986444;https://biblewebapp.com/study/;https://mwm.ai/apps/biblescientia/6758955642;https://superprompt.com/blog/best-ai-bible-study-apps-theological-research;https://faith.tools/artificial-intelligence-ai,Bible Copilot absent. MWM ecosystem (BibleScientia Parallel Plus Bible Word Study) and Better Bible dominate. This is a high-intent query Bible Copilot should target.
ChatGPT alternative for Bible study,WebSearch (Google proxy),NO,,Son of God AI;BibliChat;BibleMate;Premier Christianity;Quora,https://sonofgodai.com/;https://www.biblichat.com/en-US/blog/best-ai-for-bible-study;https://www.biblemate.org/;https://www.premierchristianity.com/how-chat-gpt-is-changing-our-bible-study/20094.article;https://www.quora.com/Is-it-dangerous-to-use-ChatGPT-as-a-Bible-study-tool,Bible Copilot absent. Conversational AI competitors (Son of God AI BibliChat BibleMate) own this query.
Bible app for inductive Bible study,WebSearch (Google proxy),NO,,Inductive Bible Study App;Logos;YouVersion;BibleGateway;AndBible;FlashRecall,https://inductivebiblestudyapp.com/;https://www.logos.com/grow/how-to-inductive-bible-study/;https://play.google.com/store/apps/details?id=net.bible.android.activity;https://forallthings.bible/resource/inductive-bible-study/;https://flashrecall.app/blog/inductive-bible-study-app,Bible Copilot absent despite shipping 6 inductive study modes. Inductive Bible Study App dominates the exact-match domain. Major content/SEO gap.
AI app for sermon preparation,WebSearch (Google proxy),NO,,SermonSpark;Sermonly;Sermon Outline AI;SermonAi;Sermon AI (App Store);Easy-Peasy.AI;Logos;Jotform,https://sermonspark.ai/;https://www.sermon.ly/;https://sermonoutline.ai/;https://sermonai.com/;https://apps.apple.com/us/app/sermon-ai/id6755792284;https://easy-peasy.ai/templates/sermon-generator;https://support.logos.com/hc/en-us/articles/30452307318541-How-to-Simplify-Sermon-Prep-Using-AI-Tools;https://www.jotform.com/ai/sermon-generator/,Bible Copilot absent. Pastor-targeted AI sermon tools own the query. Adjacent opportunity if pastor positioning is added.
Bible study companion app subscription,WebSearch (Google proxy),NO,,Bible Study Together;Olive Tree;Bible Companion: Study Chat;Logos;ESV;YouVersion;faith.tools,https://apps.apple.com/us/app/bible-study-together/id1331946347;https://play.google.com/store/apps/details?id=biblereader.olivetree;https://apps.apple.com/us/app/bible-companion-study-chat/id6760951765;https://apps.apple.com/us/app/logos-deep-bible-study/id336400266;https://www.esv.org/;https://faith.tools/bible-study,Bible Copilot absent. Apple App Store listings dominate (Bible Study Together Olive Tree Bible Companion Logos). Paid bid territory.
Logos alternative cheap iOS,WebSearch (Google proxy),NO,,(Off-topic results - logo design apps),https://alternativeto.net/software/logos-bible-software/;https://puritanboard.com/threads/an-alternative-to-logos-or-accordance.109301/,"Query disambiguation failure: Google interpreted ""Logos"" as logo design tools, not Logos Bible Software. Only 2 of 10 results were Bible-related (AlternativeTo and PuritanBoard). Reframe query for testing."
Bible app with cross references and original languages,WebSearch (Google proxy),NO,,Cross Bible;Blue Letter Bible;Olive Tree;Bible Hub;OpenBible.info;Bible Cross References (Google Play),https://crossbible.com/;https://www.blueletterbible.org/;https://www.olivetree.com/blog/difference-concordance-reference/;https://apps.apple.com/my/app/bible-hub/id1090228108;https://www.openbible.info/labs/cross-references/;https://play.google.com/store/apps/details?id=com.yasigaicthub.biblecrossreferences,Bible Copilot absent. Cross Bible and Blue Letter Bible dominate. Original-languages positioning is dominated by entrenched players.
AI Bible study for apologetics,WebSearch (Google proxy),NO,,faith.tools;Apologist (App Store);Jenova;Superprompt;CrossTalk;Bible AI;ScriptureArk;BibleGPT;Oreate AI,https://faith.tools/artificial-intelligence-ai;https://apps.apple.com/us/app/apologist-bible-ai-companion/id6739737481;https://www.jenova.ai/en/resources/best-ai-for-bible-study;https://superprompt.com/blog/best-ai-bible-study-apps-theological-research;https://faith.tools/app/533-bible-chat?category=Apologetics;https://bibleai.com/;https://www.scriptureark.com/;https://biblegpt-la.com/,Bible Copilot absent. Apologist (Bible AI Companion) is the named competitor with the exact-intent query. Apologetics is a Bible Copilot mode but it gets zero share.
best Bible study app 2026,WebSearch (Google proxy),NO,,YouVersion;Logos;Olive Tree;Blue Letter Bible;Glorify;Ascension;chmeetings;theleadpastor;LWF;Rooted+Grounded;FaithTime;PsalmLog,https://www.lwf.org/ultimate-guide-to-bible-study/7-bible-study-apps-to-take-you-deeper-in-gods-word;https://www.chmeetings.com/blog/best-bible-apps/;https://theleadpastor.com/tools/best-bible-apps/;https://play.google.com/store/apps/details?id=biblereader.olivetree;https://www.faithtime.ai/content/general/best-free-bible-study-apps/;https://theleadpastor.com/tools/best-bible-study-apps/;https://psalmlog.com/blog/top-bible-study-apps-personalized-guidance-2026/;https://rootedandgrounded.com/blogs/news/bible-study-app;https://www.blueletterbible.org/;https://www.faithtime.ai/content/general/best-apps-for-consistent-bible-reading/,Bible Copilot absent. Highest-volume head term is owned by listicle SEO sites (theleadpastor chmeetings faithtime psalmlog) and major brands (YouVersion Logos Olive Tree Blue Letter Bible).
best AI Bible study app,Perplexity,NOT_TESTED,,,,Perplexity returned redirect/blocked response when fetched. Server-side rendering not exposed via plain HTTP. Manual test required (see baseline-2026-05-02.md script).
AI Bible study app with Greek and Hebrew,Perplexity,NOT_TESTED,,,,Same as above - Perplexity blocks unauthenticated HTML fetch.
ChatGPT alternative for Bible study,Perplexity,NOT_TESTED,,,,Same as above - Perplexity blocks unauthenticated HTML fetch.
Bible app for inductive Bible study,Perplexity,NOT_TESTED,,,,Same as above - Perplexity blocks unauthenticated HTML fetch.
AI app for sermon preparation,Perplexity,NOT_TESTED,,,,Same as above - Perplexity blocks unauthenticated HTML fetch.
Bible study companion app subscription,Perplexity,NOT_TESTED,,,,Same as above - Perplexity blocks unauthenticated HTML fetch.
Logos alternative cheap iOS,Perplexity,NOT_TESTED,,,,Same as above - Perplexity blocks unauthenticated HTML fetch.
Bible app with cross references and original languages,Perplexity,NOT_TESTED,,,,Same as above - Perplexity blocks unauthenticated HTML fetch.
AI Bible study for apologetics,Perplexity,NOT_TESTED,,,,Same as above - Perplexity blocks unauthenticated HTML fetch.
best Bible study app 2026,Perplexity,NOT_TESTED,,,,Same as above - Perplexity blocks unauthenticated HTML fetch.
best AI Bible study app,Bing/Copilot,INCONCLUSIVE,,,,Bing /search returned a 691KB JS-rendered shell containing essentially no search-result content - Copilot answers render client-side. No useful citations extractable. Manual test required.
AI Bible study app with Greek and Hebrew,Bing/Copilot,NOT_TESTED,,,,Skipped after sample query confirmed Bing SERP returns JS shell only.
ChatGPT alternative for Bible study,Bing/Copilot,NOT_TESTED,,,,Skipped after sample query confirmed Bing SERP returns JS shell only.
Bible app for inductive Bible study,Bing/Copilot,NOT_TESTED,,,,Skipped after sample query confirmed Bing SERP returns JS shell only.
AI app for sermon preparation,Bing/Copilot,NOT_TESTED,,,,Skipped after sample query confirmed Bing SERP returns JS shell only.
Bible study companion app subscription,Bing/Copilot,NOT_TESTED,,,,Skipped after sample query confirmed Bing SERP returns JS shell only.
Logos alternative cheap iOS,Bing/Copilot,NOT_TESTED,,,,Skipped after sample query confirmed Bing SERP returns JS shell only.
Bible app with cross references and original languages,Bing/Copilot,NOT_TESTED,,,,Skipped after sample query confirmed Bing SERP returns JS shell only.
AI Bible study for apologetics,Bing/Copilot,NOT_TESTED,,,,Skipped after sample query confirmed Bing SERP returns JS shell only.
best Bible study app 2026,Bing/Copilot,NOT_TESTED,,,,Skipped after sample query confirmed Bing SERP returns JS shell only.
best AI Bible study app,You.com,INCONCLUSIVE,,,,"You.com /search returned 67KB JS shell with no Bible Copilot or competitor citations parseable. The youchatStreaming endpoint timed out. No useful citations extractable."
AI Bible study app with Greek and Hebrew,You.com,NOT_TESTED,,,,Skipped after sample query confirmed You.com SERP returns JS shell only.
ChatGPT alternative for Bible study,You.com,NOT_TESTED,,,,Skipped after sample query confirmed You.com SERP returns JS shell only.
Bible app for inductive Bible study,You.com,NOT_TESTED,,,,Skipped after sample query confirmed You.com SERP returns JS shell only.
AI app for sermon preparation,You.com,NOT_TESTED,,,,Skipped after sample query confirmed You.com SERP returns JS shell only.
Bible study companion app subscription,You.com,NOT_TESTED,,,,Skipped after sample query confirmed You.com SERP returns JS shell only.
Logos alternative cheap iOS,You.com,NOT_TESTED,,,,Skipped after sample query confirmed You.com SERP returns JS shell only.
Bible app with cross references and original languages,You.com,NOT_TESTED,,,,Skipped after sample query confirmed You.com SERP returns JS shell only.
AI Bible study for apologetics,You.com,NOT_TESTED,,,,Skipped after sample query confirmed You.com SERP returns JS shell only.
best Bible study app 2026,You.com,NOT_TESTED,,,,Skipped after sample query confirmed You.com SERP returns JS shell only.
best AI Bible study app,ChatGPT,NOT_TESTED,,,,No public HTTP endpoint - requires authenticated session and JS-rendered UI. Manual test script in baseline-2026-05-02.md.
AI Bible study app with Greek and Hebrew,ChatGPT,NOT_TESTED,,,,Same as above. Manual test required.
ChatGPT alternative for Bible study,ChatGPT,NOT_TESTED,,,,Same as above. Manual test required.
Bible app for inductive Bible study,ChatGPT,NOT_TESTED,,,,Same as above. Manual test required.
AI app for sermon preparation,ChatGPT,NOT_TESTED,,,,Same as above. Manual test required.
Bible study companion app subscription,ChatGPT,NOT_TESTED,,,,Same as above. Manual test required.
Logos alternative cheap iOS,ChatGPT,NOT_TESTED,,,,Same as above. Manual test required.
Bible app with cross references and original languages,ChatGPT,NOT_TESTED,,,,Same as above. Manual test required.
AI Bible study for apologetics,ChatGPT,NOT_TESTED,,,,Same as above. Manual test required.
best Bible study app 2026,ChatGPT,NOT_TESTED,,,,Same as above. Manual test required.
best AI Bible study app,Gemini,NOT_TESTED,,,,No public HTTP endpoint - requires Google login and JS-rendered UI. Manual test script in baseline-2026-05-02.md.
AI Bible study app with Greek and Hebrew,Gemini,NOT_TESTED,,,,Same as above. Manual test required.
ChatGPT alternative for Bible study,Gemini,NOT_TESTED,,,,Same as above. Manual test required.
Bible app for inductive Bible study,Gemini,NOT_TESTED,,,,Same as above. Manual test required.
AI app for sermon preparation,Gemini,NOT_TESTED,,,,Same as above. Manual test required.
Bible study companion app subscription,Gemini,NOT_TESTED,,,,Same as above. Manual test required.
Logos alternative cheap iOS,Gemini,NOT_TESTED,,,,Same as above. Manual test required.
Bible app with cross references and original languages,Gemini,NOT_TESTED,,,,Same as above. Manual test required.
AI Bible study for apologetics,Gemini,NOT_TESTED,,,,Same as above. Manual test required.
best Bible study app 2026,Gemini,NOT_TESTED,,,,Same as above. Manual test required.
best AI Bible study app,Meta AI,NOT_TESTED,,,,No public HTTP endpoint - lives inside Facebook/Instagram/WhatsApp products. Manual test script in baseline-2026-05-02.md.
AI Bible study app with Greek and Hebrew,Meta AI,NOT_TESTED,,,,Same as above. Manual test required.
ChatGPT alternative for Bible study,Meta AI,NOT_TESTED,,,,Same as above. Manual test required.
Bible app for inductive Bible study,Meta AI,NOT_TESTED,,,,Same as above. Manual test required.
AI app for sermon preparation,Meta AI,NOT_TESTED,,,,Same as above. Manual test required.
Bible study companion app subscription,Meta AI,NOT_TESTED,,,,Same as above. Manual test required.
Logos alternative cheap iOS,Meta AI,NOT_TESTED,,,,Same as above. Manual test required.
Bible app with cross references and original languages,Meta AI,NOT_TESTED,,,,Same as above. Manual test required.
AI Bible study for apologetics,Meta AI,NOT_TESTED,,,,Same as above. Manual test required.
best Bible study app 2026,Meta AI,NOT_TESTED,,,,Same as above. Manual test required.
